name,project_type,start_date,status,total_reported_cost
Akchatau-Akzhal,Road,—,Started,—
AksuAyuly-Akchatau,Road,—,Started,—
Aktau-Kuryk,Road,—,Completed,—
AktobeCentre,Intermodal,—,Announced/Under Negotiation,—
Aktogai-DostykRailwayElectrification,Rail,—,Announced/Under Negotiation,—
Aktogai-MointyRailwayElectrification,Rail,—,Announced/Under Negotiation,—
Akzhal-Bectauata,Road,—,Announced/Under Negotiation,—
Almaty-BishkekRegionalRoadRehabilitationProject(Kazakhstansection),Road,—,Completed,122.8 million USD
Almaty-KapshagaiRoadRehabilitation,Road,—,—,—
Almaty-Targar-Yevgenivka,Road,—,Announced/Under Negotiation,—
Almaty-Ust-KamenogorskRoadRehabilitation,Road,—,Under Construction,243.0 billion KZT
Anar-Osakarovka,Road,—,Under Construction,—
Arkalyk-ShubarkolRailway,Rail,June 2012,Completed,133.0 billion KZT
Astana-AlmatyRoadRehabilitation,Road,2013,Under Construction,92.0 billion KZT
AstanaBypassRoadRepairProject,Road,—,Announced/Under Negotiation,—
Astana_I,,,,
Astana_II,,,,
Astana-Kostanay-Chelyabinsk,Road,2014,Completed,—
AstanaLightRail,Rail,May 27 2017,Under Construction,1.8 billion USD
Astana-Petropavlovsk,Road,—,Completed,—
Astana-RozhdestvenkaKievka-Temirtau,Road,—,Completed,—
Astana-Shyderty,Road,—,Under Construction,324.0 million USD
AstanaSouthwestBypassRoadConstruction,Road,2017,Preparatory Works,30.0 billion KZT
Atyrau-Aktau,Road,—,Completed,—
AutoRoadsProjectAtyrau-Astrakhan,Road,—,—,—
AutoRoadsProjectKurty-Burubaital,Road,2016,—,—
Usynagash-OtarRoad,Road,—,—,—
AuylBorderCrossingImprovement,Road,—,Announced/Under Negotiation,—
BadamshaWindPowerPlant,,,,
Baimyrza-Temirtau,Road,—,Preparatory Works,—
BalkhashCogenerationPlant,,,,
"BasEnergySolarPowerPlant,Kyzylorda",,,,
Batpak-Baimyrza,Road,—,Under Construction,—
Bectauata-Balkhash-Gulshat,Road,—,Announced/Under Negotiation,—
Beineu-Aktau,Road,—,Under Construction,83.0 billion KZT
Beineu-Akzhigit(Uzbekistanborder),Road,—,Preparatory Works,—
